CODIGO,DESCRIPCION,URL_QR
FIAS.19.03.029,COMPUTADOR PORTATIL,https://fias-activos.github.io/consulta/?codigo=FIAS.19.03.029
FIAS.21.01.136,SOFA DOBLE,https://fias-activos.github.io/consulta/?codigo=FIAS.21.01.136
FIAS.20.02.52,CLIMATIZADOR,https://fias-activos.github.io/consulta/?codigo=FIAS.20.02.52
FIAS.20.02.53,CLIMATIZADOR,https://fias-activos.github.io/consulta/?codigo=FIAS.20.02.53
FIAS.20.02.54,CLIMATIZADOR,https://fias-activos.github.io/consulta/?codigo=FIAS.20.02.54
FIAS.20.02.55,CLIMATIZADOR,https://fias-activos.github.io/consulta/?codigo=FIAS.20.02.55
FIAS.20.02.56,CLIMATIZADOR,https://fias-activos.github.io/consulta/?codigo=FIAS.20.02.56
FIAS.20.02.57,COCHE DE LIMPIEZA,https://fias-activos.github.io/consulta/?codigo=FIAS.20.02.57
FIAS.20.02.58,CARRITO DE SERVICIO,https://fias-activos.github.io/consulta/?codigo=FIAS.20.02.58
FIAS.20.03.030,COMPUTADOR PORTATIL,https://fias-activos.github.io/consulta/?codigo=FIAS.20.03.030
FIAS.20.03.031,COMPUTADOR PORTATIL,https://fias-activos.github.io/consulta/?codigo=FIAS.20.03.031
FIAS.20.03.032,COMPUTADOR PORTATIL,https://fias-activos.github.io/consulta/?codigo=FIAS.20.03.032
FIAS.20.03.033,COMPUTADOR PORTATIL,https://fias-activos.github.io/consulta/?codigo=FIAS.20.03.033
FIAS.20.03.035,PROYECTOR,https://fias-activos.github.io/consulta/?codigo=FIAS.20.03.035
FIAS.20.03.036,PROYECTOR,https://fias-activos.github.io/consulta/?codigo=FIAS.20.03.036
FIAS.20.03.037,DISCO DURO PORTABLE,https://fias-activos.github.io/consulta/?codigo=FIAS.20.03.037
FIAS.20.03.034,COMPUTADOR PORTATIL,https://fias-activos.github.io/consulta/?codigo=FIAS.20.03.034
FIAS.20.02.59,GRABADORA DIGITAL,https://fias-activos.github.io/consulta/?codigo=FIAS.20.02.59
MOE001REM.1,ESCRITORIO TIPO L,https://fias-activos.github.io/consulta/?codigo=MOE001REM.1
MOE001REM.2,ESCRITORIO TIPO L,https://fias-activos.github.io/consulta/?codigo=MOE001REM.2
MOE001REM.3,ESCRITORIO TIPO L,https://fias-activos.github.io/consulta/?codigo=MOE001REM.3
MOE001REM.4,ESCRITORIO TIPO L,https://fias-activos.github.io/consulta/?codigo=MOE001REM.4
MOE001REM.5,ESCRITORIO TIPO L,https://fias-activos.github.io/consulta/?codigo=MOE001REM.5
MOE001REM.6,ESCRITORIO TIPO L,https://fias-activos.github.io/consulta/?codigo=MOE001REM.6
MOE001REM.7,ESCRITORIO TIPO L,https://fias-activos.github.io/consulta/?codigo=MOE001REM.7
MOE001REM.8,ESCRITORIO RECTO,https://fias-activos.github.io/consulta/?codigo=MOE001REM.8
MOE001REM.9,ESCRITORIO RECTO,https://fias-activos.github.io/consulta/?codigo=MOE001REM.9
MOE001REM.10,MUEBLE ARCHIVO BAJO,https://fias-activos.github.io/consulta/?codigo=MOE001REM.10
MOE001REM.11,MESA REUNIONES,https://fias-activos.github.io/consulta/?codigo=MOE001REM.11
MOE001REM.12,MODULO DE ARCHIVO BIBLIOTECAS ALTAS,https://fias-activos.github.io/consulta/?codigo=MOE001REM.12
MOE001REM.13,MODULO DE ARCHIVO BIBLIOTECAS ALTAS,https://fias-activos.github.io/consulta/?codigo=MOE001REM.13
MOE001REM.14,MODULO DE ARCHIVO BIBLIOTECAS ALTAS,https://fias-activos.github.io/consulta/?codigo=MOE001REM.14
MOE001REM.15,MODULO DE ARCHIVO BIBLIOTECAS ALTAS,https://fias-activos.github.io/consulta/?codigo=MOE001REM.15
MOE001REM.16,MODULO DE ARCHIVO BIBLIOTECAS ALTAS,https://fias-activos.github.io/consulta/?codigo=MOE001REM.16
MOE001REM.17,MODULO DE ARCHIVO BIBLIOTECAS ALTAS,https://fias-activos.github.io/consulta/?codigo=MOE001REM.17
MOE001REM.18,MODULO DE ARCHIVO BIBLIOTECAS ALTAS,https://fias-activos.github.io/consulta/?codigo=MOE001REM.18
MOE001REM.19,MODULO DE ARCHIVO BIBLIOTECAS ALTAS,https://fias-activos.github.io/consulta/?codigo=MOE001REM.19
MOE001REM.20,ESTACIÓN TRABAJO,https://fias-activos.github.io/consulta/?codigo=MOE001REM.20
MOE001REM.21,ESTACIÓN TRABAJO,https://fias-activos.github.io/consulta/?codigo=MOE001REM.21
MOE001REM.22,COUNTER RECEPCIÓN,https://fias-activos.github.io/consulta/?codigo=MOE001REM.22
MOE001REM.23,REPISERO TROFEOS,https://fias-activos.github.io/consulta/?codigo=MOE001REM.23
MOE001REM.24,MUEBLES ARCHIVADORES BAJOS,https://fias-activos.github.io/consulta/?codigo=MOE001REM.24
MOE001REM.25,MUEBLES ARCHIVADORES BAJOS,https://fias-activos.github.io/consulta/?codigo=MOE001REM.25
MOE001REM.26,SILLA PRESIDENTE,https://fias-activos.github.io/consulta/?codigo=MOE001REM.26
MOE001REM.27,SILLA PRESIDENTE,https://fias-activos.github.io/consulta/?codigo=MOE001REM.27
MOE001REM.28,SILLA PRESIDENTE,https://fias-activos.github.io/consulta/?codigo=MOE001REM.28
MOE001REM.29,SILLA PRESIDENTE,https://fias-activos.github.io/consulta/?codigo=MOE001REM.29
MOE001REM.30,SILLA PRESIDENTE,https://fias-activos.github.io/consulta/?codigo=MOE001REM.30
MOE001REM.31,SILLA PRESIDENTE,https://fias-activos.github.io/consulta/?codigo=MOE001REM.31
MOE001REM.32,SILLA PRESIDENTE,https://fias-activos.github.io/consulta/?codigo=MOE001REM.32
MOE001REM.33,SILLA PRESIDENTE,https://fias-activos.github.io/consulta/?codigo=MOE001REM.33
MOE001REM.34,SILLA PRESIDENTE,https://fias-activos.github.io/consulta/?codigo=MOE001REM.34
MOE001REM.35,SILLA PRESIDENTE,https://fias-activos.github.io/consulta/?codigo=MOE001REM.35
MOE001REM.36,SILLA PRESIDENTE,https://fias-activos.github.io/consulta/?codigo=MOE001REM.36
MOE001REM.37,SILLA PRESIDENTE,https://fias-activos.github.io/consulta/?codigo=MOE001REM.37
MOE001REM.38,SILLA PRESIDENTE,https://fias-activos.github.io/consulta/?codigo=MOE001REM.38
MOE001REM.39,SILLA PRESIDENTE,https://fias-activos.github.io/consulta/?codigo=MOE001REM.39
MOE001REM.40,SILLA PRESIDENTE,https://fias-activos.github.io/consulta/?codigo=MOE001REM.40
MOE001REM.41,SILLA PRESIDENTE,https://fias-activos.github.io/consulta/?codigo=MOE001REM.41
MOE001REM.42,SILLA PRESIDENTE,https://fias-activos.github.io/consulta/?codigo=MOE001REM.42
MOE001REM.43,SILLA VISITA,https://fias-activos.github.io/consulta/?codigo=MOE001REM.43
MOE001REM.44,SILLA VISITA,https://fias-activos.github.io/consulta/?codigo=MOE001REM.44
MOE001REM.45,SILLA VISITA,https://fias-activos.github.io/consulta/?codigo=MOE001REM.45
